CustomerID,Lookalikes
C0001,"[('C0072', 0.9999999844471962), ('C0190', 0.9999999827713056), ('C0183', 0.999999981587435)]"
C0002,"[('C0199', 0.9999999920068625), ('C0025', 0.9999999320494665), ('C0166', 0.9999998826720842)]"
C0003,"[('C0178', 0.9999999999597963), ('C0133', 0.9999999967291151), ('C0052', 0.9999999901964984)]"
C0004,"[('C0113', 0.9999999858020151), ('C0021', 0.9999999659140482), ('C0101', 0.9999999654829336)]"
C0005,"[('C0197', 0.999999996740546), ('C0120', 0.9999999661514395), ('C0007', 0.9999999513654743)]"
C0006,"[('C0117', 0.9999999989043167), ('C0079', 0.9999999476218998), ('C0135', 0.9999999457113751)]"
C0007,"[('C0085', 0.9999999999656871), ('C0120', 0.9999999986639087), ('C0050', 0.9999999828318885)]"
C0008,"[('C0175', 0.9999997329172621), ('C0065', 0.9999994329195565), ('C0141', 0.9999990141585731)]"
C0009,"[('C0077', 0.9999999720113002), ('C0032', 0.9999993825191493), ('C0043', 0.9999988714195462)]"
C0010,"[('C0029', 0.9999999960311681), ('C0031', 0.9999999441342164), ('C0002', 0.9999996893485972)]"
C0011,"[('C0048', 0.9999999991138705), ('C0016', 0.9999999987516623), ('C0064', 0.9999999947172953)]"
C0012,"[('C0108', 0.9999999944218249), ('C0155', 0.9999999645003006), ('C0046', 0.9999999622673487)]"
C0013,"[('C0143', 0.9999999999638317), ('C0046', 0.9999999970153871), ('C0041', 0.9999999730426934)]"
C0014,"[('C0151', 0.9999991196381852), ('C0110', 0.9999978432015323), ('C0080', 0.9999976982122281)]"
C0015,"[('C0095', 0.9999999854501679), ('C0123', 0.999999955185607), ('C0128', 0.999999631239333)]"
C0016,"[('C0048', 0.9999999999690432), ('C0011', 0.9999999987516623), ('C0064', 0.9999999986049483)]"
C0017,"[('C0021', 0.9999999786127247), ('C0101', 0.9999999707972741), ('C0113', 0.9999999567507399)]"
C0018,"[('C0114', 0.9999999836859138), ('C0096', 0.9999999752928975), ('C0183', 0.9999999679939002)]"
C0019,"[('C0172', 0.9999997976301614), ('C0116', 0.9999996761901311), ('C0034', 0.9999995410522956)]"
C0020,"[('C0130', 0.9999998325070244), ('C0080', 0.9999994577946479), ('C0078', 0.9999994523335591)]"
